"時点","総人口（総数）【人】","注記","日本人人口（総数）【人】","注記"
"1993年1月","124528000","","",""
"1993年2月","124665000","","",""
"1993年3月","124625000","","",""
"1993年4月","124677000","","",""
"1993年5月","124650000","","",""
"1993年6月","124791000","","",""
"1993年7月","124829000","","",""
"1993年8月","124725000","","",""
"1993年9月","124846000","","",""
"1993年10月","124938000","","",""
"1993年11月","124961000","","",""
"1993年12月","125002000","","",""
"1994年1月","124870000","","",""
"1994年2月","125019000","","",""
"1994年3月","124965000","","",""
"1994年4月","125018000","","",""
"1994年5月","124967000","","",""
"1994年6月","125137000","","",""
"1994年7月","125178000","","",""
"1994年8月","125071000","","",""
"1994年9月","125183000","","",""
"1994年10月","125265000","","",""
"1994年11月","125338000","","",""
"1994年12月","125385000","","",""
"1995年1月","125245000","","",""
"1995年2月","125405000","","",""
"1995年3月","125327000","","",""
"1995年4月","125362000","","",""
"1995年5月","125324000","","",""
"1995年6月","125448000","","",""
"1995年7月","125472000","","",""
"1995年8月","125362000","","",""
"1995年9月","125457000","","",""
"1995年10月","125570246","総務省統計局「国勢調査」による。","124298947","総務省統計局「国勢調査」による。"
"1995年11月","125615000","","124468000",""
"1995年12月","125648000","","124500000",""
"1996年1月","125500000","","124409000",""
"1996年2月","125633000","","124494000",""
"1996年3月","125587000","","124460000",""
"1996年4月","125634000","","124508000",""
"1996年5月","125621000","","124492000",""
"1996年6月","125719000","","124572000",""
"1996年7月","125757000","","124614000",""
"1996年8月","125658000","","124543000",""
"1996年9月","125737000","","124601000",""
"1996年10月","125859000","","124708000",""
"1996年11月","125890000","","124731000",""
"1996年12月","125939000","","124776000",""
"1997年1月","125747000","","124641000",""
"1997年2月","125912000","","124759000",""
"1997年3月","125860000","","124708000",""
"1997年4月","125942000","","124790000",""
"1997年5月","125960000","","124797000",""
"1997年6月","126013000","","124832000",""
"1997年7月","126057000","","124879000",""
"1997年8月","125972000","","124819000",""
"1997年9月","126062000","","124885000",""
"1997年10月","126157000","","124961000",""
"1997年11月","126191000","","124988000",""
"1997年12月","126258000","","125051000",""
"1998年1月","126096000","","124950000",""
"1998年2月","126305000","","125116000",""
"1998年3月","126207000","","125012000",""
"1998年4月","126271000","","125079000",""
"1998年5月","126293000","","125091000",""
"1998年6月","126362000","","125142000",""
"1998年7月","126400000","","125185000",""
"1998年8月","126307000","","125121000",""
"1998年9月","126398000","","125186000",""
"1998年10月","126472000","","125248000",""
"1998年11月","126505000","","125272000",""
"1998年12月","126568000","","125332000",""
"1999年1月","126432000","","125260000",""
"1999年2月","126566000","","125340000",""
